openalex_id,display_name,country_code,type,works_count
https://openalex.org/I2801851002,Harvard University Press,US,other,153546
https://openalex.org/I184942183,University of Oslo,NO,education,152886
https://openalex.org/I1330342723,Mayo Clinic,US,healthcare,152620
https://openalex.org/I145608581,University of Miami,US,education,152563
https://openalex.org/I204337017,Aarhus University,DK,education,152069
https://openalex.org/I151201029,Consejo Nacional de Investigaciones Científicas y Técnicas,AR,government,151318
https://openalex.org/I16733864,National Taiwan University,TW,education,149666
https://openalex.org/I116953780,Tongji University,CN,education,149218
https://openalex.org/I169381384,University of Groningen,NL,education,148847
https://openalex.org/I1343551460,The University of Texas MD Anderson Cancer Center,US,healthcare,148822
https://openalex.org/I177725633,Chinese University of Hong Kong,CN,education,148611
https://openalex.org/I859038795,Virginia Tech,US,education,148182
https://openalex.org/I181547552,Baylor College of Medicine,US,education,148098
https://openalex.org/I194450716,Jilin University,CN,education,148031
https://openalex.org/I32597200,Ghent University,BE,education,144700
https://openalex.org/I153718931,University of Ottawa,CA,education,144635
https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,CN,education,144379
https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,BR,education,144334
https://openalex.org/I98358874,Delft University of Technology,NL,education,143626
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,CH,education,143469
https://openalex.org/I188538660,University of Colorado Boulder,US,education,143167
https://openalex.org/I130442723,Universidade Federal do Rio Grande do Sul,BR,education,141916
https://openalex.org/I125749732,Western University,CA,education,140316
https://openalex.org/I129774422,University of Vienna,AT,education,139628
https://openalex.org/I162868743,Tianjin University,CN,education,139199
https://openalex.org/I74973139,Carnegie Mellon University,US,education,138328
https://openalex.org/I114090438,Goethe University Frankfurt,DE,education,138326
https://openalex.org/I151746483,University of Waterloo,CA,education,137393
https://openalex.org/I121748325,Universidad Complutense de Madrid,ES,education,136268
https://openalex.org/I143302722,University of Kentucky,US,education,136158
https://openalex.org/I887968799,RWTH Aachen University,DE,education,135104
https://openalex.org/I32389192,University of Alabama at Birmingham,US,education,134724
https://openalex.org/I98704320,Icahn School of Medicine at Mount Sinai,US,education,133634
https://openalex.org/I5388228,University of Rochester,US,education,133208
https://openalex.org/I2799853436,Johns Hopkins Medicine,US,healthcare,132012
https://openalex.org/I75027704,University of Tennessee at Knoxville,US,education,131175
https://openalex.org/I4210153126,Istituti di Ricovero e Cura a Carattere Scientifico,IT,healthcare,130552
https://openalex.org/I919571938,The University of Texas Health Science Center at Houston,US,education,130489
https://openalex.org/I135140700,University of Bonn,DE,education,129903
https://openalex.org/I197251160,Hebrew University of Jerusalem,IL,education,129817
https://openalex.org/I7877124,Charité - Universitätsmedizin Berlin,DE,healthcare,129699
https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,education,128773
https://openalex.org/I1343871089,Los Alamos National Laboratory,US,facility,128547
https://openalex.org/I177877127,University of Western Australia,AU,education,128455
https://openalex.org/I76569877,Southeast University,CN,education,127935
https://openalex.org/I1316902750,Cleveland Clinic,US,healthcare,127836
https://openalex.org/I99542240,Polish Academy of Sciences,PL,government,127191
https://openalex.org/I8087733,University of Tübingen,DE,education,126665
https://openalex.org/I63190737,"University at Buffalo, State University of New York",US,education,126661
https://openalex.org/I118564535,University of Bern,CH,education,125861
https://openalex.org/I165733156,University of Georgia,US,education,125657
https://openalex.org/I75951250,Freie Universität Berlin,DE,education,125546
https://openalex.org/I27804330,Brown University,US,education,125364
https://openalex.org/I123044942,Universitat Autònoma de Barcelona,ES,education,125318
https://openalex.org/I5681781,University of Adelaide,AU,education,124941
https://openalex.org/I90610280,South China University of Technology,CN,education,124523
https://openalex.org/I55769427,Indiana University – Purdue University Indianapolis,US,education,124465
https://openalex.org/I71267560,University of Naples Federico II,IT,education,124286
https://openalex.org/I84884186,Newcastle University,GB,education,124183
https://openalex.org/I141596103,University of Lisbon,PT,education,124023
https://openalex.org/I14243506,Hong Kong Polytechnic University,HK,education,123631
https://openalex.org/I921990950,University of Colorado Denver,US,education,123394
https://openalex.org/I154570441,"University of California, Santa Barbara",US,education,122889
https://openalex.org/I148283060,Lawrence Berkeley National Laboratory,US,facility,122636
https://openalex.org/I82880672,Beihang University,CN,education,122630
https://openalex.org/I867280407,The University of Texas Southwestern Medical Center,US,healthcare,121990
