openalex_id,display_name,country_code,type,works_count,cited_by_count,ror_id,homepage_url,image_url
https://openalex.org/I1299303238,National Institutes of Health,US,government,277439,19833404,https://ror.org/01cwqze88,http://www.nih.gov/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/NIH%202013%20logo%20vertical.svg
https://openalex.org/I98285908,Osaka University,JP,education,270510,6777115,https://ror.org/035t8zc32,http://www.osaka-u.ac.jp/en,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/%E5%A4%A7%E9%98%AA%E5%A4%A7%E5%AD%A6.svg
https://openalex.org/I170201317,University of Pittsburgh,US,education,269716,11480229,https://ror.org/01an3r305,http://www.pitt.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Pitt%20Panthers%20wordmark.svg
https://openalex.org/I180670191,"University of California, San Francisco",US,education,266421,15318199,https://ror.org/043mz5j54,https://www.ucsf.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20California%2C%20San%20Francisco%20logo.svg
https://openalex.org/I28407311,University of Manchester,GB,education,266128,9171153,https://ror.org/027m9bs27,http://www.manchester.ac.uk/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Manchester%20University%20Logo%20%282%29.png
https://openalex.org/I84218800,"University of California, Davis",US,education,265055,10692299,https://ror.org/05rrcem69,https://www.ucdavis.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/The%20University%20of%20California%20Davis.svg
https://openalex.org/I99464096,KU Leuven,BE,education,264463,8787117,https://ror.org/05f950310,http://www.kuleuven.be/english,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/KU%20Leuven%20logo.svg
https://openalex.org/I40347166,University of Chicago,US,education,261061,13246049,https://ror.org/024mw5h28,https://www.uchicago.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Chicago%20wordmark.svg
https://openalex.org/I223822909,Heidelberg University,DE,education,257173,9090689,https://ror.org/038t36y30,https://www.uni-heidelberg.de,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ruprecht-Karls-Universit%C3%A4t%20Heidelberg%20Logo.svg
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,US,education,257100,11997439,https://ror.org/0130frc33,https://www.unc.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/UNC%20Seal.JPG
https://openalex.org/I5023651,McGill University,CA,education,255341,10036905,https://ror.org/01pxwe438,https://www.mcgill.ca,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Arts%20Building%2C%20McGill%20University%2C%20Aug%2031%202022.jpg
https://openalex.org/I201537933,Tohoku University,JP,education,251809,5457591,https://ror.org/01dq60k83,http://www.tohoku.ac.jp/en/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Kawauchi%20campus%20of%20Tohoku%20University%2020220910a.jpg
https://openalex.org/I86519309,The University of Texas at Austin,US,education,250854,9896639,https://ror.org/00hj54h04,http://www.utexas.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Texas%20at%20Austin%20logo.svg
https://openalex.org/I1174212,University of Southern California,US,education,249965,10178217,https://ror.org/03taz7m60,https://usc.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Southern%20California%20logo.svg
https://openalex.org/I57206974,New York University,US,education,249663,10828862,https://ror.org/0190ak572,https://www.nyu.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Nyu%20short%20color.svg
https://openalex.org/I111979921,Northwestern University,US,education,238371,11542585,https://ror.org/000e0be47,http://www.northwestern.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Northwestern%20University%20wordmark.svg
https://openalex.org/I98677209,University of Edinburgh,GB,education,234519,8794168,https://ror.org/01nrxwf90,https://www.ed.ac.uk,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Old%20College%20Quad.jpg
https://openalex.org/I154425047,University of Alberta,CA,education,233137,7518180,https://ror.org/0160cpw27,https://www.ualberta.ca,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Convocation%20Hall%20University%20of%20Alberta%20Edmonton%20Alberta%20Canada%2002.jpg
https://openalex.org/I165143802,University of Queensland,AU,education,232718,8583919,https://ror.org/00rqy9422,http://www.uq.edu.au/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/UQ-SteeleBldg800.jpg
https://openalex.org/I149899117,Max Planck Society,DE,nonprofit,231806,8406158,https://ror.org/01hhn8329,http://www.mpg.de/en,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/M%C3%BCnchen%20-%20Max-Planck-Gesellschaft.JPG
https://openalex.org/I165932596,National University of Singapore,SG,education,231412,7951720,https://ror.org/01tgyzw49,http://www.nus.edu.sg/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/NUS%2C%20University%20Cultural%20Centre%203%2C%20Nov%2006.JPG
https://openalex.org/I138006243,University of Arizona,US,education,231396,8649309,https://ror.org/03m2x1q45,http://www.arizona.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Arizona%20logo.svg
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",US,education,228711,8485374,https://ror.org/05vt9qd57,http://www.rutgers.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Rutgers%20University%20with%20the%20state%20university%20logo.svg
https://openalex.org/I31746571,UNSW Sydney,AU,education,228271,7326141,https://ror.org/03r8z3t63,https://www.unsw.edu.au/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/UNSW%20Canberra%20Logo%20-%20Lanscape.jpg
https://openalex.org/I170897317,Duke University,US,education,227998,10294388,https://ror.org/00py81415,https://duke.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Duke%20University%20logo.svg
https://openalex.org/I157773358,Sun Yat-sen University,CN,education,223981,4484173,https://ror.org/0064kty71,https://www.sysu.edu.cn,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Zhongda%20ZH3.jpg
https://openalex.org/I1313323035,Russian Academy of Sciences,RU,government,222614,2513056,https://ror.org/05qrfxd25,http://www.ras.ru/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ras-logo.svg
https://openalex.org/I889458895,University of Hong Kong,HK,education,221442,7665226,https://ror.org/02zhqgq86,http://www.hku.hk/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/The%20University%20of%20Hong%20Kong.jpg
https://openalex.org/I56590836,Monash University,AU,education,219951,6968343,https://ror.org/02bfwt286,https://www.monash.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Words%20Monash%20University.png
https://openalex.org/I124055696,University of Copenhagen,DK,education,217639,8135313,https://ror.org/035b05819,https://www.ku.dk,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ku-ucph-logo-svg.svg
https://openalex.org/I204465549,Washington University in St. Louis,US,education,217472,11181105,https://ror.org/01yc7t268,http://wustl.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Olin%20Library%20-%20Danforth%20Campus%20at%20Washington%20University%20in%20St.%20Louis.jpg
https://openalex.org/I47720641,Huazhong University of Science and Technology,CN,education,215683,4218955,https://ror.org/00p991c53,http://english.hust.edu.cn/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/HUST-Main-building-4111.jpg
https://openalex.org/I66946132,"University of Maryland, College Park",US,education,214112,8953663,https://ror.org/047s2c258,https://umd.edu,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University%20of%20Maryland%20wordmark.svg
https://openalex.org/I87216513,Michigan State University,US,education,212863,7661336,https://ror.org/05hs6h993,https://msu.edu/,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Michigan%20State%20University%20wordmark.svg
https://openalex.org/I861853513,Sapienza University of Rome,IT,education,212650,5306644,https://ror.org/02be6w209,https://www.uniroma1.it,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Sede%20Sapienza.jpeg
https://openalex.org/I91045830,Texas A&M University,US,education,212643,7002241,https://ror.org/01f5ytq51,https://www.tamu.edu/,
